dataset,source,feature_map,reps,pca_components,qubits,accuracy,n_support,kernel_alignment,spectral_gap,condition_number,effective_rank,leading_eigen_ratio,diag_subset_n
facebook_factcheck,feature_map,z,2,2,2,0.8273809523809523,30.0,0.005635051949242586,1.0586459146488028,223499059.5274128,2.0609444114420534,0.6150870154690428,250
facebook_factcheck,feature_map,zz,2,2,2,0.8194444444444444,30.0,0.003894531666140545,9.7682706997819,1281714458.0213141,1.8216673738769567,0.7179245771331572,250
facebook_factcheck,feature_map,pauli_xyz,2,2,2,0.8273809523809523,30.0,0.007171897631816897,3.1945705758469387,384817121.70450014,1.6608371752256514,0.7593680091695111,250
facebook_factcheck,feature_map,ry_custom,2,2,2,0.8273809523809523,30.0,0.01634411112150739,1.3378673647704737,212378045.98492295,1.737177136556709,0.7113539216942297,250
facebook_factcheck,depth_sweep,z,1,2,2,0.8273809523809523,26.0,0.005711167000473118,1.6010589174620153,231162279.4683944,1.7263596251993076,0.7260768920210837,250
facebook_factcheck,depth_sweep,z,2,2,2,0.8273809523809523,26.0,0.005635051949242586,1.0586459146488028,223499059.5274128,2.0609444114420534,0.6150870154690428,250
facebook_factcheck,depth_sweep,z,3,2,2,0.8273809523809523,26.0,0.0063605823341419685,1.8519168816329494,307067445.64353603,1.9355519455112056,0.6661341051673533,250
facebook_factcheck,depth_sweep,zz,1,2,2,0.8174603174603174,26.0,0.002207607493210476,9.826123910650606,1183443322.9321136,1.610788587983857,0.7739274138697166,250
facebook_factcheck,depth_sweep,zz,2,2,2,0.8253968253968254,26.0,0.003894531666140545,9.7682706997819,1281714458.0213141,1.8216673738769567,0.7179245771331572,250
facebook_factcheck,depth_sweep,zz,3,2,2,0.8253968253968254,26.0,0.00758001867797638,2.2116898855665887,355763839.72958344,2.6414396333062964,0.5576592984883524,250
facebook_factcheck,depth_sweep,pauli_xyz,1,2,2,0.8273809523809523,26.0,0.006691002352166159,1.7759474747150734,273044930.3636259,1.8856125003964879,0.6850954109205536,250
facebook_factcheck,depth_sweep,pauli_xyz,2,2,2,0.8253968253968254,25.0,0.007171897631816897,3.1945705758469387,384817121.70450014,1.6608371752256514,0.7593680091695111,250
facebook_factcheck,depth_sweep,pauli_xyz,3,2,2,0.8273809523809523,26.0,0.006797776298335924,4.456112576402975,648439091.8711351,2.253032195471387,0.6275880499258285,250
facebook_factcheck,tradeoff,pauli_xyz,2,2,2,0.8273809523809523,44.0,0.007171897631816897,3.1945705758469387,384817121.70450014,1.6608371752256514,0.7593680091695111,250
facebook_factcheck,tradeoff,pauli_xyz,2,2,3,0.8273809523809523,44.0,0.007171897631809654,3.194570575846942,384816320.2485301,1.660837175225625,0.7593680091695173,250
facebook_factcheck,tradeoff,pauli_xyz,2,3,2,0.8273809523809523,44.0,0.007171897631816897,3.1945705758469387,384817121.70450014,1.6608371752256514,0.7593680091695111,250
facebook_factcheck,tradeoff,pauli_xyz,2,3,3,0.8273809523809523,44.0,0.013428334416261652,0.7778520475554078,404655068.630364,3.3690020288553426,0.4049787794175556,250
facebook_factcheck,tradeoff,pauli_xyz,2,4,2,0.8273809523809523,44.0,0.007171897631816897,3.1945705758469387,384817121.70450014,1.6608371752256514,0.7593680091695111,250
facebook_factcheck,tradeoff,pauli_xyz,2,4,3,0.8273809523809523,44.0,0.013428334416261652,0.7778520475554078,404655068.630364,3.3690020288553426,0.4049787794175556,250
